col,tau_uniform,dim_uniform,tau_pecuzal,dim_pecuzal,Ls
Lab5_G3_Lm,1,3,"[  0 126 113  51 108  36 111 141  61  11  16  60  59  71  42 132  22  81
  89   3 149 122  97  10  94  92 146 130 125  30  29 137  91 139  86  84
 103  88  20  95  37  90 118   0  15  79  94 106  26 121]",50,"[-0.7921698871353642, -0.4476252096310176, -0.14332351663274134, -0.09580100257100907, -0.09745942589735601, -0.12181071501367557, -0.09234126836873531, -0.18289717365641778, -0.13526092495584718, -0.09196001069279658, -0.07725724118648913, -0.06801957890786903, -0.1442056370792495, -0.17315342368703868, -0.04749897044025486, -0.16469044064242477, -0.07845916771489592, -0.12981312925113575, -0.058406418137034954, -0.0244079964005533, -0.10855095349600785, -0.05643621220350248, -0.13475633517789065, -0.053735037571726096, -0.06676562693294519, -0.12005732078148257, -0.01375220579376979, -0.14035845088632892, -0.03212838298754206, -0.04153852956809265, -0.16844932907072963, -0.10122593184314521, -0.0361969342921824, -0.02113721120708173, -0.06469441278584176, -0.023848661954813943, -0.023518677644893682, -0.020595810431809983, -0.02512451764692325, -0.018269214564610614, -0.0420265225100922, -0.03522872010679179, -0.04146997700207811, -0.017190830832338078, -0.016730080526890845, -0.027249064316160032, -0.014384268525421184, -0.008071744715259468, -0.15633237205527428]"
Lab5_G3_dPf1,49,3,[0],1,Float64[]
Lab5_G3_Pm,38,4,[0],1,Float64[]
Lab5_G3_T638,22,6,[0],1,Float64[]
Lab5_G3_V1,4,3,[ 0 40],2,[-0.08128679312164783]
Lab5_G3_V2,3,3,[0],1,Float64[]
Lab5_G3_Pc1,15,6,[0],1,Float64[]
Lab5_G3_Pc2,12,7,[0],1,Float64[]
Lab5_G3_Pc3,18,3,[ 0 18  9 39 63],5,"[-0.011837677765736299, -0.03325629817944398, -0.0520408432622364, -0.01944523758332206]"
Lab5_G3_T600,8,7,[0],1,Float64[]
Lab5_G3_T606,14,4,[ 0 37 18 75],4,"[-0.06684684544026592, -0.09082174186287484, -0.008769283595670752]"
Lab5_G3_T1002,9,5,[0],1,Float64[]
Lab5_G3_T1003,9,3,[0],1,Float64[]
Lab5_G3_КВД,3,4,"[  0  26 108  72 100 131 124 116  51 127 141  66  89 120   3 136   4  95
 111  69 118 103  94  48  16 119  64 113  84  22  57  80  61   7  76  79
  97  47  26  90  89  93  85  58  85  82  76  75 134 124]",50,"[-0.017512535218184633, -0.22413355565896365, -0.2653236481308483, -0.18500271542430768, -0.3394634658448086, -0.06976128738831888, -0.12518674242742023, -0.3199464510549772, -0.09016399656984264, -0.09341304630762526, -0.04051393031597339, -0.11124903745346115, -0.038170231037948366, -0.0845816115577076, -0.060334435107074036, -0.1043415352852497, -0.025889199168571686, -0.09587223920167443, -0.03901380358562312, -0.025252339545593472, -0.0235774967689808, -0.020562574191490324, -0.018763015696168672, -0.025522570754132445, -0.037518510791190174, -0.060305791478698634, -0.02589145322260844, -0.010320517401604334, -0.06676932734130814, -0.042260715355434186, -0.017082546372745977, -0.017142685917391987, -0.015280977475649937, -0.03126197073801551, -0.026290859857196924, -0.011897594178728044, -0.03907828718026218, -0.011835426013608874, -0.02157904555264345, -0.012707542828298335, -0.0050041907728517465, -0.026957774133031798, -0.014624703773063796, -0.015849803058943124, -0.019850741647832404, -0.0017056629706089232, -0.025379647271329686, -0.046743859105827124, -0.00031434526428597565]"
Lab5_G3_ЗО_СТ,5,3,"[  0  24  86  17 107  75  98 119   2  42  25 133 113  17  63   2  29  68
  91  58  56  50  49  17  45  63  57  50 102  80  79 110 146  95  76  68
  11  12  72  18  52  71  11 123  53 139  29  11  29 129]",50,"[-0.15923670315796168, -0.354338441598971, -0.06827499366083245, -0.1093405317792181, -0.32440751645829824, -0.1123938720567228, -0.18865412959009298, -0.13901401852061923, -0.09089597030748608, -0.061770628698043506, -0.12320927004681792, -0.02247120561231908, -0.06034996325199948, -0.12407387898603206, -0.0615554460353378, -0.0333984767916915, -0.027828889249884803, -0.026249581641386133, -0.027232925353679827, -0.1696721277651445, -0.007936978556994267, -0.13394457371060797, -0.020614668274648418, -0.053870583821429285, -0.03869508429499868, -0.16185010223905794, -0.021554781860979588, -0.058073180815421566, -0.029732304124663544, -0.11335731469514032, -0.0575794075092011, -0.05511315739387701, -0.08774944606896451, -0.16059648300465446, -0.06347647380279886, -0.08826463150270047, -0.045709631621420055, -0.009909807375440671, -0.015204571054217464, -0.053102382955440675, -0.012505404102983508, -0.046189050146878685, -0.03283688625789383, -0.025134166782807554, -0.032215967934460465, -0.05576888993374007, -0.008317467670604817, -0.008611227094133866, -0.019368586932676735]"
Lab5_G4_delta_T4PR,2,3,[0],1,Float64[]
Lab5_G4_delta_P2PR,4,3,[0],1,Float64[]
Lab5_G4_delta_T4,3,3,[  0 116],2,[-0.039591868694063836]
Lab5_Ttg,3,9,[0],1,Float64[]
Lab5_TC_T607,5,9,[  0 139  37  57  19  28  23  34  31  96  26],11,"[-0.102484415740555, -0.10148768386788465, -0.17344816362639304, -0.14344647548644462, -0.06363465466966212, -0.023430425827550394, -0.011296874169743232, -0.006563407118316267, -0.02105109786741277, -0.004563996670398973]"
Lab5_TC_Tm,9,9,[  0  78 102 148  88 124 117 107  94  83 121 103  89],13,"[-0.09920269662806813, -0.025547864125188724, -0.22028390007845822, -0.04995051157199959, -0.11786637506913555, -0.0438089752345161, -0.011744187872070988, -0.04095092048869109, -0.0336818233898728, -0.005596919249818866, -0.0013117598358447502, -0.006382523097432369]"
Lab5_TC_P615,157,4,[0],1,Float64[]
Lab5_dPmg,1,9,[0],1,Float64[]
Lab5_Pm_sm_N,44,9,[0],1,Float64[]
Lab5_he,7,8,[  0  23  46  56  94  35  77 132],8,"[-0.01711360434268583, -0.08011221810716584, -0.06357781387125261, -0.11739306932924554, -0.02826138245206078, -0.03551027529455841, -0.02928636291372666]"
Lab5_dev,2,5,[0],1,Float64[]
